"Kväve, ton, från handelsgödsel efter region, grödgrupp och år, brutna"

"region","grödgrupp","2012/2013"
"00 Riket","samtliga åkergrödor",155330
"00 Riket","spannmål",85250
"00 Riket","slåttervall",42000
"00 Riket","betesvall",2030
"00 Riket","samtliga åkergrödor utom spannmål och slåtter- och betesvall",26050
