"Tillförsel av kväve efter region, grödgrupp, gödselslag, tabellinnehåll och år, brutna"

"region","grödgrupp","gödselslag","Areal, hektar 2012/2013","Tillförd mängd kväve från handelsgödsel, kg per hektar 2012/2013"
"PO7 Nedre Norrland","samtliga åkergrödor","enbart handelsgödsel",18700,69
"PO7 Nedre Norrland","samtliga åkergrödor","både handels- och stallgödsel",22300,88
"PO7 Nedre Norrland","spannmål","enbart handelsgödsel",5000,..
"PO7 Nedre Norrland","spannmål","både handels- och stallgödsel",4700,..
"PO7 Nedre Norrland","slåttervall","enbart handelsgödsel",10200,..
"PO7 Nedre Norrland","slåttervall","både handels- och stallgödsel",17100,..
"PO7 Nedre Norrland","betesvall","enbart handelsgödsel",2000,..
"PO7 Nedre Norrland","betesvall","både handels- och stallgödsel",200,..
"PO7 Nedre Norrland","samtliga åkergrödor utom spannmål och slåtter- och betesvall","enbart handelsgödsel",1500,..
"PO7 Nedre Norrland","samtliga åkergrödor utom spannmål och slåtter- och betesvall","både handels- och stallgödsel",400,..
"PO8 Övre Norrland","samtliga åkergrödor","enbart handelsgödsel",20600,75
"PO8 Övre Norrland","samtliga åkergrödor","både handels- och stallgödsel",27100,77
"PO8 Övre Norrland","spannmål","enbart handelsgödsel",6500,..
"PO8 Övre Norrland","spannmål","både handels- och stallgödsel",4300,..
"PO8 Övre Norrland","slåttervall","enbart handelsgödsel",12200,..
"PO8 Övre Norrland","slåttervall","både handels- och stallgödsel",22000,83
"PO8 Övre Norrland","betesvall","enbart handelsgödsel",1100,..
"PO8 Övre Norrland","betesvall","både handels- och stallgödsel",500,..
"PO8 Övre Norrland","samtliga åkergrödor utom spannmål och slåtter- och betesvall","enbart handelsgödsel",800,..
"PO8 Övre Norrland","samtliga åkergrödor utom spannmål och slåtter- och betesvall","både handels- och stallgödsel",400,..
